"name","icpsr","state","party","congress","chamber","born","died","image","source","provenance"
"RUBEY, Thomas Lewis","008100","Missouri","Democratic Party",70,"House",1862,1928,"images/bio_guide/008100.jpg","bio_guide",""
"SINNOTT, Nicholas John","008546","Oregon","Republican Party",70,"House",1870,1929,"images/bio_guide/008546.jpg","bio_guide",""
"SMITH, Frank Leslie","008617","Illinois","Republican Party",70,"Senate",1867,1950,"images/bio_guide/008617.jpg","bio_guide",""
"STROTHER, James French","009044","West Virginia","Republican Party",70,"House",1868,1930,"images/bio_guide/009044.jpg","bio_guide",""
"SWEET, Thaddeus C.","009119","New York","Republican Party",70,"House",1872,1928,"images/bio_guide/009119.jpg","bio_guide",""
"TILLMAN, John Newton","009388","Arkansas","Democratic Party",70,"House",1859,1929,"images/bio_guide/009388.jpg","bio_guide",""
"UPDIKE, Ralph Eugene","009565","Indiana","Republican Party",70,"House",1894,1953,"images/bio_guide/009565.jpg","bio_guide",""
"WELLER, Royal Hurlburt","009937","New York","Democratic Party",70,"House",1881,1929,"images/bio_guide/009937.jpg","bio_guide",""
"WHITE, Hays Baxter","010027","Kansas","Republican Party",70,"House",1855,1930,"images/bio_guide/010027.jpg","bio_guide",""
"WHITE, Sebastian Harrison","010044","Colorado","Democratic Party",70,"House",1864,1945,"images/bio_guide/010044.jpg","bio_guide",""
"WILLIS, Frank Bartlett","010203","Ohio","Republican Party",70,"Senate",1871,1928,"images/bio_guide/010203.jpg","bio_guide",""
"WILSON, Thomas Webber","010256","Mississippi","Democratic Party",70,"House",1893,1948,"images/bio_guide/010256.jpg","bio_guide",""
"WINTER, Charles Edwin","010281","Wyoming","Republican Party",70,"House",1870,1948,"images/bio_guide/010281.jpg","bio_guide",""
"du PONT, Thomas Coleman","002782","Delaware","Republican Party",70,"Senate",1863,1930,"images/bio_guide/002782.jpg","bio_guide",""
"APPLEBY, Stewart Hoffman","000216","New Jersey","Republican Party",69,"House",1890,1964,"images/bio_guide/000216.jpg","bio_guide",""
"BAILEY, Ralph Emerson","000350","Missouri","Republican Party",69,"House",1878,1948,"images/manual/000350.jpg","manual","Missouri Blue Book"
"BIXLER, Harris Jacob","000737","Pennsylvania","Republican Party",69,"House",1870,1941,"images/bio_guide/000737.jpg","bio_guide",""
"BUTLER, William Morgan","001356","Massachusetts","Republican Party",69,"Senate",1861,1937,"images/bio_guide/001356.jpg","bio_guide",""
"CAMERON, Ralph Henry","001436","Arizona","Republican Party",69,"Senate",1863,1953,"images/bio_guide/001436.jpg","bio_guide",""
"CARPENTER, Edmund Nelson","001521","Pennsylvania","Republican Party",69,"House",1865,1952,"images/bio_guide/001521.jpg","bio_guide",""
"CARTER, Charles David","001546","Oklahoma","Democratic Party",69,"House",1868,1929,"images/bio_guide/001546.jpg","bio_guide",""
"CHURCHILL, George Bosworth","001724","Massachusetts","Republican Party",69,"House",1866,1925,"images/wiki/001724.jpg","wiki",""
"CLEARY, William Edward","001826","New York","Democratic Party",69,"House",1849,1932,"images/bio_guide/001826.jpg","bio_guide",""
"CRUMPACKER, Maurice Edgar","002226","Oregon","Republican Party",69,"House",1886,1927,"images/bio_guide/002226.jpg","bio_guide",""
"CUMMINS, Albert Baird","002252","Iowa","Republican Party",69,"Senate",1850,1926,"images/bio_guide/002252.jpg","bio_guide",""
"ERNST, Richard Pretlow","002983","Kentucky","Republican Party",69,"Senate",1858,1934,"images/bio_guide/002983.jpg","bio_guide",""
"FAIRCHILD, Benjamin Lewis","003047","New York","Republican Party",69,"House",1863,1946,"images/bio_guide/003047.jpg","bio_guide",""
"FERNALD, Bert Manfred","003113","Maine","Republican Party",69,"Senate",1858,1926,"images/bio_guide/003113.jpg","bio_guide",""
"FLAHERTY, Lawrence James","003200","California","Republican Party",69,"House",1878,1926,"images/wiki/003200.jpg","wiki",""
"FREDERICKS, John Donnan","003351","California","Republican Party",69,"House",1869,1945,"images/bio_guide/003351.jpg","bio_guide",""
"FULLER, Charles Eugene","003393","Illinois","Republican Party",69,"House",1849,1926,"images/bio_guide/003393.jpg","bio_guide",""
"FUNK, Frank Hamilton","003413","Illinois","Republican Party",69,"House",1869,1940,"images/bio_guide/003413.jpg","bio_guide",""
"GORMAN, John Jerome","003712","Illinois","Republican Party",69,"House",1883,1949,"images/bio_guide/003712.jpg","bio_guide",""
"HARRELD, John William","004092","Oklahoma","Republican Party",69,"Senate",1872,1950,"images/bio_guide/004092.jpg","bio_guide",""
"HILL, John Boynton Philip Clayton","004415","Maryland","Republican Party",69,"House",1879,1941,"images/bio_guide/004415.jpg","bio_guide",""
"JOHNSON, Ben","004942","Kentucky","Democratic Party",69,"House",1858,1950,"images/bio_guide/004942.jpg","bio_guide",""
"KELLER, Oscar Edward","005135","Minnesota","Republican Party",69,"House",1878,1927,"images/bio_guide/005135.jpg","bio_guide",""
"KIRK, Andrew Jackson","005291","Kentucky","Republican Party",69,"House",1866,1933,"images/wiki/005291.jpg","wiki",""
"LA FOLLETTE, Robert Marion","005401","Wisconsin","Republican Party",69,"Senate",1855,1925,"images/bio_guide/005401.jpg","bio_guide",""
"LADD, Edwin Fremont","005393","North Dakota","Republican Party",69,"Senate",1859,1925,"images/bio_guide/005393.jpg","bio_guide",""
"LAZARO, Ladislas","005529","Louisiana","Democratic Party",69,"House",1872,1927,"images/bio_guide/005529.jpg","bio_guide",""
"LEE, Gordon","005558","Georgia","Democratic Party",69,"House",1859,1927,"images/bio_guide/005558.jpg","bio_guide",""
"LENROOT, Irvine Luther","005607","Wisconsin","Republican Party",69,"Senate",1869,1949,"images/bio_guide/005607.jpg","bio_guide",""
"LINEBERGER, Walter Franklin","005683","California","Republican Party",69,"House",1883,1943,"images/bio_guide/005683.jpg","bio_guide",""
"LITTLE, Chauncey Bundy","005698","Kansas","Democratic Party",69,"House",1877,1952,"images/bio_guide/005698.jpg","bio_guide",""
"MAGEE, James McDevitt","005906","Pennsylvania","Republican Party",69,"House",1877,1949,"images/bio_guide/005906.jpg","bio_guide",""
